Discovered 1223 test files (0 tests) under ['tests']; running with -j 64
[  0.0% |     0/0 | ✓2171 | ✗   0] ✓ tests/agent/test_i18n.py (43✓, 16.8s)
[  0.0% |     0/0 | ✓2227 | ✗   0] ✓ tests/agent/test_plugin_llm.py (56✓, 13.8s)
[  0.0% |     0/0 | ✓2231 | ✗   0] ✓ tests/agent/test_codex_ttfb_watchdog.py (4✓, 21.7s)
[  0.0% |     0/0 | ✓2286 | ✗   0] ✓ tests/agent/test_bedrock_integration.py (55✓, 21.7s)
[  0.0% |     0/0 | ✓2328 | ✗   0] ✓ tests/agent/test_minimax_provider.py (42✓, 15.1s)
[  0.0% |     0/0 | ✓2347 | ✗   0] ✓ tests/agent/test_unsupported_temperature_retry.py (19✓, 10.7s)
[  0.0% |     0/0 | ✓2356 | ✗   0] ✓ tests/argo_cli/test_auth_ssl_macos.py (9✓, 5.2s)
[  0.0% |     0/0 | ✓2364 | ✗   0] ✓ tests/argo_cli/test_bundles.py (8✓, 3.9s)
[  0.0% |     0/0 | ✓2368 | ✗   0] ✓ tests/argo_cli/test_banner_git_state.py (4✓, 4.3s)
[  0.0% |     0/0 | ✓2421 | ✗   0] ✓ tests/agent/test_shell_hooks.py (53✓, 14.3s)
[  0.0% |     0/0 | ✓2440 | ✗   0] ✓ tests/argo_cli/test_azure_detect.py (19✓, 5.7s)
[  0.0% |     0/0 | ✓2441 | ✗   0] ✓ tests/argo_cli/test_config_drift.py (1✓, 2.9s)
[  0.0% |     0/0 | ✓2445 | ✗   0] ✓ tests/argo_cli/test_banner_pip_update.py (4✓, 5.4s)
[  0.0% |     0/0 | ✓2461 | ✗   0] ✓ tests/argo_cli/test_azure_foundry_entra.py (16✓, 6.0s)
[  0.0% |     0/0 | ✓2478 | ✗   0] ✓ tests/argo_cli/test_coalesce_session_args.py (17✓, 3.9s)
[  0.0% |     0/0 | ✓2483 | ✗   0] ✓ tests/argo_cli/test_banner_skills.py (5✓, 5.6s)
[  0.0% |     0/0 | ✓2489 | ✗   0] ✓ tests/argo_cli/test_config_env_refs.py (6✓, 3.1s)
[  0.0% |     0/0 | ✓2492 | ✗   0] ✓ tests/argo_cli/test_cron.py (3✓, 2.1s)
[  0.0% |     0/0 | ✓2515 | ✗   0] ✓ tests/argo_cli/test_auth_codex_provider.py (23✓, 7.9s)
[  0.0% |     0/0 | ✓2542 | ✗   0] ✓ tests/argo_cli/test_arcee_provider.py (27✓, 9.2s)
[  0.0% |     0/0 | ✓2567 | ✗   0] ✓ tests/argo_cli/test_auth_manual_paste.py (25✓, 8.3s)
[  0.0% |     0/0 | ✓2614 | ✗   0] ✓ tests/agent/test_tts_registry.py (47✓, 13.5s)
[  0.0% |     0/0 | ✓2688 | ✗   0] ✓ tests/agent/test_memory_provider.py (74✓, 18.3s)
[  0.0% |     0/0 | ✓2725 | ✗   0] ✓ tests/agent/transports/test_types.py (37✓, 10.2s)
[  0.0% |     0/0 | ✓2737 | ✗   0] ✓ tests/agent/test_vision_routing_31179.py (12✓, 13.1s)
[  0.0% |     0/0 | ✓2741 | ✗   0] ✓ tests/argo_cli/test_curator_run.py (4✓, 2.9s)
[  0.0% |     0/0 | ✓2810 | ✗   0] ✓ tests/agent/transports/test_chat_completions.py (69✓, 13.0s)
[  0.0% |     0/0 | ✓2856 | ✗   0] ✓ tests/agent/test_openrouter_response_cache.py (46✓, 17.4s)
[  0.0% |     0/0 | ✓2870 | ✗   0] ✓ tests/argo_cli/test_container_aware_cli.py (14✓, 4.4s)
[  0.0% |     0/0 | ✓2874 | ✗   0] ✓ tests/argo_cli/test_chat_skills_flag.py (4✓, 7.3s)
[  0.0% |     0/0 | ✓2887 | ✗   0] ✓ tests/argo_cli/test_config_env_expansion.py (13✓, 5.1s)
[  0.0% |     0/0 | ✓2889 | ✗   0] ✓ tests/argo_cli/test_copilot_in_model_list.py (2✓, 4.1s)
[  0.0% |     0/0 | ✓2901 | ✗   0] ✓ tests/argo_cli/test_copilot_token_exchange.py (12✓, 4.0s)
[  0.0% |     0/0 | ✓2907 | ✗   0] ✓ tests/argo_cli/test_curator_recent_run_notice.py (6✓, 4.0s)
[  0.0% |     0/0 | ✓2913 | ✗   0] ✓ tests/argo_cli/test_curses_color_compat.py (6✓, 3.7s)
[  0.0% |     0/0 | ✓2922 | ✗   0] ✓ tests/argo_cli/test_copilot_catalog_oauth_fallback.py (9✓, 4.7s)
[  0.0% |     0/0 | ✓2927 | ✗   0] ✓ tests/argo_cli/test_curator_status.py (5✓, 4.2s)
[  0.0% |     0/0 | ✓2930 | ✗   0] ✓ tests/argo_cli/test_dashboard_auth_plugin_hook.py (3✓, 2.9s)
[  0.0% |     0/0 | ✓2962 | ✗   0] ✓ tests/argo_cli/test_auth_qwen_provider.py (32✓, 9.9s)
[  0.0% |     0/0 | ✓2967 | ✗   0] ✓ tests/argo_cli/test_dashboard_auth_audit.py (5✓, 3.3s)
[  0.0% |     0/0 | ✓2968 | ✗   0] ✓ tests/argo_cli/test_dashboard_browser_safe_imports.py (1✓, 2.0s)
[  0.0% |     0/0 | ✓2989 | ✗   0] ✓ tests/argo_cli/test_config_validation.py (21✓, 5.8s)
[  0.0% |     0/0 | ✓3002 | ✗   0] ✓ tests/argo_cli/test_curator_archive_prune.py (13✓, 5.5s)
[  0.0% |     0/0 | ✓3028 | ✗   0] ✓ tests/argo_cli/test_container_boot.py (26✓, 6.6s)
[  0.0% |     0/0 | ✓3029 | ✗   0] ✓ tests/argo_cli/test_dashboard_profiles_nav_label.py (1✓, 2.7s)
[  0.0% |     0/0 | ✓3040 | ✗   0] ✓ tests/argo_cli/test_copilot_context.py (11✓, 6.3s)
